kod;grup;eski_ad;onerilen_ad;dayanak
Y033-7;Yüzük — Gold;Yüzük — Gold;Düz Bant Yüzük;görsel: geniş düz bant
NBY024;Yüzük — Gold;Yüzük — Gold;Burgu Fiyonk Yüzük;görsel: ince burgu/fiyonk form
NBB138;Yaz Esintisi Bileklik;Yaz Esintisi Bileklik;Deniz Kabuğu Charm Bileklik;görsel: deniz kabuğu + denizyıldızı
NBB134;Yaz Esintisi Bileklik;Yaz Esintisi Bileklik;Güneş Yıldız Charm Bileklik;görsel: güneş + yıldız charm
BKP030;Küpe — Gold;Küpe — Gold;Siyah Taşlı Düğme Küpe;görsel: yuvarlak gold + siyah taş
BKP072;Küpe — Gold;Küpe — Gold;Kalın Halka Küpe;görsel: kalın gold halka
BKP080;Üçlü Küpe;Üçlü Küpe;Üç Sıra Halka Küpe;görsel: üç sıra kalın halka
BKP007;Üçlü Küpe;Üçlü Küpe;Dal Formlu Küpe;görsel: dal/yaprak figürü
NBK182;Li İnci Kolye;Li İnci Kolye;UYGULANMADI (İnci Kolye);26 Ağu: NBK082 ile AYNI üç fotoğraf, sıra farklı
NBK082;Li İnci Kolye;Li İnci Kolye;UYGULANMADI (İnci Kolye);26 Ağu: NBK182 ile AYNI üç fotoğraf, sıra farklı
NBK143;Erkek Kolye;Erkek Kolye;Erkek Burgu Zincir Kolye;görsel: burgu/halat örgü — NBK037 ile yakın, teyit iyi olur
NBK037;Erkek Kolye;Erkek Kolye;Erkek Örgü Zincir Kolye;görsel: yassı örgü — NBK143 ile yakın, teyit iyi olur
BKP073;Küpe — Silver;Küpe — Silver;Zirkon Halka Küpe;görsel: taşlı huggie halka
BKP071;Küpe — Silver;Küpe — Silver;Sallantılı Zirkon Küpe;görsel: sallantılı zirkon damla
NBK091;Kolye 45 cm — Silver;Kolye 45 cm — Silver;İşlemeli Oval Madalyon Kolye;görsel: oval işlemeli taşlı madalyon
NBK102;Kolye 45 cm — Silver;Kolye 45 cm — Silver;Hilal Tek Taş Kolye;görsel: hilal + tek zirkon
NBB015;Bileklik — Gold;Bileklik — Gold;Kelebek Mineli Çift Sıra Bileklik;görsel: kelebek + renkli mine, iki sıra
NBB019;Bileklik — Gold;Bileklik — Gold;Yıldız Charm Renkli Bileklik;görsel: renkli halka zincir + yıldız
BKP005;Büyük Halka Küpe;Büyük Halka Küpe;Gold Büyük Halka Küpe;görsel: gold ince büyük halka
BKP006;Büyük Halka Küpe;Büyük Halka Küpe;Silver Büyük Halka Küpe;görsel: silver ince büyük halka
KP091-;Kare Küpe;Kare Küpe;Bordo Mineli Kare Küpe;görsel: bordo taş + gold çerçeve
BKP090;Kare Küpe;Kare Küpe;Siyah Mineli Kare Küpe;görsel: siyah taş + gold çerçeve
BKP049;Küpe Set;Küpe Set;Üçlü Halka Küpe Seti;görsel: üç halka bir arada
BKP023;Küpe Set;Küpe Set;Kalp Halka Küpe Seti;görsel: kalp + halka ikilisi
NBB093;Zincir Dört Bileklik;Zincir Dört Bileklik;Silver Yıldız Charm Bileklik;görsel: silver zincir + yıldız/çiçek
NBB103;Zincir Dört Bileklik;Zincir Dört Bileklik;Gold Çiçek Charm Bileklik;görsel: gold zincir + çiçek/yıldız
NBK070;Güneş Ay Kolye;Güneş Ay Kolye;Silver Ay Yıldız Kolye;görsel: silver ince, ay + yıldız sallantı
NBK197;Güneş Ay Kolye;Güneş Ay Kolye;Gold Madalyon Güneş Kolye;görsel: gold büyük madalyon + güneş
BKP076;Karışık Küpe;Karışık Küpe;Turuncu Taşlı Küpe;görsel: turuncu/şeftali taş
BKP056;Karışık Küpe;Karışık Küpe;Renkli Baget Taşlı Küpe;görsel: renkli baget taş sırası
NBK020;Tarot Kolye;Tarot Kolye;Silver Tarot Kart Kolye;görsel: silver dikdörtgen tarot kartı
NBK013;Tarot Kolye;Tarot Kolye;Gold Tarot Kart Kolye;görsel: gold dikdörtgen tarot kartı
BKP033;Çivi Küpe Set;Çivi Küpe Set;Zirkon Taşlı Çivi Küpe Seti;görsel: gold + berrak zirkon
BKP031;Çivi Küpe Set;Çivi Küpe Set;Siyah Taşlı Çivi Küpe Seti;görsel: gold + siyah taş
K175-1;Li Simli Kolye;Li Simli Kolye;UYGULANMADI (Simli Kolye);26 Ağu: NBK071 ile iki fotoğraf BAYT DÜZEYİNDE aynı
NBK071;Li Simli Kolye;Li Simli Kolye;UYGULANMADI (Simli Kolye);26 Ağu: K175-1 ile iki fotoğraf BAYT DÜZEYİNDE aynı
BKP045;Damla Küpe;Damla Küpe;Dolgun Damla Küpe;görsel: düz dolgun damla
BKP029;Damla Küpe;Damla Küpe;Zirkon Taşlı Damla Küpe;görsel: damla + zirkon taş
NBB080;İnce İtalyan Bileklik;İnce İtalyan Bileklik;Gold İnce İtalyan Bileklik;görsel: gold yassı zincir
NBB079;İnce İtalyan Bileklik;İnce İtalyan Bileklik;Silver İnce İtalyan Bileklik;görsel: silver yassı zincir
